Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend
Heavenly Mountain Resort,1,0,1,0,1,California,10067,3500,7170,2,0,2,7,1,5,3,8,28,97,3,5.5,4800,3379,155,157,156,0,,,,,64,360,154,154
June Mountain,1,1,0,0,0,California,10090,2590,7545,0,0,0,2,0,0,4,1,7,41,2,2,1500,0,,128,128,0,,,,,58,250,139,139
Kirkwood,1,0,1,0,1,California,9800,2000,7800,0,0,0,2,1,5,1,3,12,85,2,2.5,2300,200,200,167,183.5,0,,,,,47,354,117,117
Mammoth Mountain Ski Area,1,1,0,1,1,California,11053,3100,7953,3,0,2,9,1,6,4,0,25,154,7,3,3500,700,243,,243,0,,,,,66,400,149,159
Mt. Shasta Ski Park,0,0,0,0,0,California,6890,1435,5500,0,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,130,135,0,,,,,34,300,49,59
Mountain High,1,0,0,1,0,California,8200,1600,6600,0,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,150,134,1,73,,,,95,108,84,84
Mt. Baldy,0,0,0,0,0,California,8600,2100,6500,0,0,0,0,0,0,4,0,4,26,0,2.5,400,80,175,200,187.5,0,,,,,67,178,69,69
Northstar California,1,0,1,0,1,California,8610,2280,6330,2,0,1,7,1,2,0,7,20,100,9,1.4,3170,1500,135,150,142.5,0,,,,,47,350,160,160
Sierra-at-Tahoe,1,0,0,1,0,California,8852,2212,6640,0,0,0,3,0,1,5,5,14,46,6,2.5,2000,200,160,144,152,0,,,,,73,460,105,110
Ski China Peak,1,0,0,1,0,California,8709,1679,7030,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,144,142,0,,,,12.4,62,300,83,83
Snow Summit,0,0,0,0,0,California,8200,1200,7000,0,0,0,2,0,4,5,5,16,27,6,1.2,240,240,,130,130,1,150,,,,67,100,99,99
Snow Valley,0,0,0,0,0,California,7841,1041,6800,0,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,143,127,1,164,,,,82,160,69,79
Soda Springs,0,0,0,0,0,California,7352,652,6700,0,0,0,0,0,1,1,2,4,18,0,0.4,200,20,150,144,147,0,,,,,83,400,50,50
Squaw Valley - Alpine Meadows,1,1,0,1,1,California,9050,2850,6200,2,0,5,5,1,12,10,7,42,230,5,3.2,6000,1000,193,,193,0,,,,,70,450,169,169
Sugar Bowl Resort,1,0,0,1,0,California,8383,1500,6883,1,0,0,5,3,1,0,2,12,105,3,3,1650,375,151,150,150.5,0,,,,,80,500,125,125
Tahoe Donner,0,0,0,0,0,California,7350,600,6750,0,0,0,0,1,1,0,3,5,14,2,1,120,0,150,144,147,0,,,,,48,400,69,69
Arapahoe Basin Ski Area,0,0,0,0,1,Colorado,13050,2530,10780,0,0,0,1,2,1,2,3,9,145,3,1.5,1428,125,230,233,231.5,0,,,,,73,350,85,85
Aspen / Snowmass,1,1,0,1,1,Colorado,12510,4406,8104,3,0,1,15,4,3,5,9,40,336,10,5.3,5517,658,138,138,138,0,,,,,72,300,179,179
Beaver Creek,1,0,1,0,1,Colorado,11440,3340,8100,2,0,0,11,0,1,1,9,24,150,3,2.8,1832,650,145,138,141.5,0,,,,,39,323,199,199
Breckenridge,1,0,1,0,1,Colorado,12998,3398,9600,1,0,5,6,0,1,6,15,34,187,4,3.5,2908,600,182,163,172.5,0,,,,,58,300,179,179
Copper Mountain Resort,1,1,0,1,0,Colorado,12313,2738,9712,1,0,2,4,0,4,4,9,24,150,6,1.7,2527,364,164,164,164,0,,,,,47,300,158,158
Crested Butte Mountain Resort,1,0,1,0,1,Colorado,12162,3062,9375,0,0,0,4,2,2,1,5,14,121,4,2.6,1547,297,145,131,138,0,,,,,58,234,99,99
Purgatory,1,0,0,1,0,Colorado,10822,2029,8793,0,0,1,2,0,3,3,3,12,101,9,1.3,1605,250,130,130,130,0,,,,,54,260,89,89
Eldora Mountain Resort,1,1,0,0,0,Colorado,10600,1400,9200,0,0,1,0,2,1,3,3,10,65,8,3,680,680,147,150,148.5,0,,,,,57,311,99,99
Howelsen Hill,0,0,0,0,0,Colorado,7136,440,6696,0,0,0,0,0,0,1,3,4,17,1,6,50,25,100,100,100,1,10,,,,104,150,25,25
Keystone,1,0,1,0,1,Colorado,12408,3128,9280,2,0,2,4,1,1,2,8,20,128,1,3.5,3148,662,184,,184,1,288,,,,49,235,169,169
Loveland,1,0,0,1,0,Colorado,13010,2210,10800,0,0,0,1,3,3,2,1,10,94,1,2,1800,240,205,184,194.5,0,,,,,82,422,79,79
Monarch Mountain,1,0,0,1,0,Colorado,11952,1162,10790,0,0,0,0,1,0,4,2,7,64,2,1,800,0,143,136,139.5,0,,,,,80,350,89,89
Powderhorn,1,0,0,1,0,Colorado,9850,1650,8200,0,0,0,1,0,0,2,2,5,42,2,1.5,1600,42,111,110,110.5,0,,,,,53,250,71,71
Silverton Mountain,0,0,0,0,0,Colorado,13487,3087,10400,0,0,0,0,0,0,1,0,1,69,0,1.5,26819,0,175,181,178,0,,0.9,,,17,400,79,79
Cooper,1,0,0,1,0,Colorado,11700,1200,10500,0,0,0,0,0,1,1,2,4,41,1,1,400,0,130,130,130,0,,,,,74,260,56,56
Ski Granby Ranch,0,0,0,0,0,Colorado,9202,1000,8202,0,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,92,104,1,100,,,,36,220,84,84
Steamboat,1,1,0,0,1,Colorado,10568,3668,6900,1,0,1,6,0,5,2,3,18,169,4,3,2965,375,145,145,145,1,30,,,,56,336,,
Sunlight Mountain Resort,1,0,0,1,0,Colorado,9895,2010,7885,0,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,135,117.5,0,,,,,53,250,65,65
Telluride,1,0,1,0,1,Colorado,13150,4425,8725,2,0,0,6,1,2,2,4,17,148,3,4.6,2000,220,131,137,134,0,,,,,47,280,139,139
Vail,1,0,1,0,1,Colorado,11570,3450,8120,2,0,3,15,1,1,0,9,31,195,3,4,5289,461,149,142,145.5,0,,,,,57,354,199,199
Winter Park Resort,1,1,0,0,1,Colorado,12060,3060,9000,1,0,2,7,0,4,6,5,25,166,7,4.9,3081,313,158,151,154.5,0,,,,,79,360,169,169
Wolf Creek Ski Area,0,0,0,0,0,Colorado,11904,1604,10300,0,0,0,3,1,2,1,3,10,120,0,2,1600,5,130,150,140,0,,,,,80,430,72,72
Mohawk Mountain,0,0,0,0,0,Connecticut,1600,650,950,0,0,0,0,0,5,0,3,8,25,0,1.5,107,100,,110,110,1,64,,,,72,92,30,65
Mount Southington Ski Area,0,0,0,0,0,Connecticut,525,425,100,0,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,95,79,1,51,,,,55,80,60,60
Powder Ridge Park,0,0,0,0,0,Connecticut,720,550,170,0,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,100,90,1,40,,,,60,80,45,55
Ski Sundown,0,0,0,0,0,Connecticut,1075,625,450,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,95,89.5,1,66,,,,50,45,62,62
Woodbury Ski Area,0,0,0,0,0,Connecticut,730,300,430,0,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,180,153,1,35,,,,57,70,42,42
Bogus Basin,1,0,0,1,0,Idaho,7582,1800,5800,0,0,0,3,0,1,3,4,11,91,3,1.5,2600,0,134,130,132,1,165,,,,77,250,64,64
Brundage Mountain Resort,0,0,0,0,0,Idaho,7640,1800,5840,0,0,0,1,0,4,0,1,6,51,2,3.2,1920,2,126,,126,0,,,,,58,320,70,70
Kelly Canyon Ski Area,0,0,0,0,0,Idaho,6600,1000,5600,0,0,0,0,0,0,4,2,6,51,1,1.3,740,0,118,92,105,0,,,,,62,200,42,42
Lookout Pass Ski Area,0,0,0,0,0,Idaho,5650,1150,4500,0,0,0,0,0,1,3,0,4,35,2,1.5,540,0,113,140,126.5,0,,,,,84,400,44,47
Magic Mountain Ski Area,0,0,0,0,0,Idaho,7200,700,6500,0,0,0,0,0,0,1,2,3,11,0,1.5,280,0,65,70,67.5,0,,,,,81,180,32,32
Pebble Creek Ski Area,0,0,0,0,0,Idaho,8560,2200,6360,0,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,91,88,1,30,2.7,,,70,250,47,47
Pomerelle Mountain Resort,0,0,0,0,0,Idaho,9000,1000,8000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,138,138,1,100,,,,56,500,45,45
Schweitzer,1,0,0,1,0,Idaho,6400,2400,4000,0,0,1,2,0,1,3,2,9,92,3,2.1,2900,47,136,,136,1,100,,,,56,300,81,81
Silver Mountain,0,0,0,0,0,Idaho,6300,2200,4100,1,0,0,0,1,2,2,1,7,80,2,2.5,1600,225,130,193,161.5,1,20,,,,29,300,57,62
Soldier Mountain Ski Area,0,0,0,0,0,Idaho,7200,1400,5800,0,0,0,0,0,0,2,1,3,36,0,0.4,1142,0,60,,60,0,,,,,71,,43,43
Sun Valley,1,0,0,1,0,Idaho,9150,3400,5750,1,0,0,9,0,3,2,3,18,120,7,3,2054,645,149,137,143,0,,,,,83,220,87,88
Tamarack Resort,0,0,0,0,0,Idaho,7700,2800,4900,0,0,0,2,2,0,0,2,6,48,3,1.5,1020,200,,150,150,0,,,,,15,300,71,71
Chestnut Mountain Resort,0,0,0,0,0,Illinois,1040,475,565,0,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,112,99.5,1,139,,,,60,50,40,55
Four Lakes,0,0,0,0,0,Illinois,500,100,400,0,0,0,0,0,0,0,7,7,7,1,0.1,9,9,78,70,74,1,9,,,,58,24,23,28
Ski Snowstar Winter Sports Park,0,0,0,0,0,Illinois,790,262,528,0,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,86,71,1,28,,,,38,38,25,35
Villa Olivia,0,0,0,0,0,Illinois,500,180,320,0,0,0,0,1,0,0,6,7,7,1,0.1,15,15,,70,70,1,15,,,,53,25,40,40
Paoli Peaks,0,0,0,0,0,Indiana,900,300,600,0,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,80,77.5,1,65,,,,41,18,38,45
Perfect North Slopes,0,0,0,0,0,Indiana,800,400,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,90,86,1,100,,,,39,24,52,52
Mt. Crescent Ski Area,0,0,0,0,0,Iowa,1500,300,1200,0,0,0,0,1,0,1,0,2,11,1,0.2,50,50,,90,90,1,50,,,,58,30,29,39
Seven Oaks,0,0,0,0,0,Iowa,975,275,800,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,100,100,1,35,,,,22,40,40,40
Sundown Mountain,0,0,0,0,0,Iowa,1059,475,584,0,0,0,0,1,1,2,2,6,21,2,0.6,55,55,,98,98,1,55,,,,46,45,38,46
Big Squaw Mountain Ski Resort,0,0,0,0,0,Maine,3200,660,1750,0,0,0,0,0,1,0,0,1,29,0,0.8,,0,67,58,62.5,0,,,,,6,,30,30
Camden Snow Bowl,0,0,0,0,0,Maine,1080,850,150,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,70,69,1,48,,,,83,69,33,43
Lost Valley,1,0,0,1,0,Maine,495,240,255,0,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,104,95.5,1,45,,,,58,50,29,55
Mt. Abram Ski Resort,0,0,0,0,0,Maine,2250,1150,1050,0,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,120,120,0,,,,,59,125,29,49
Mt. Jefferson,0,0,0,0,0,Maine,753,432,351,0,0,0,0,0,0,0,3,3,10,0,0.3,12,0,,95,95,0,,,,,19,,25,25
New Hermon Mountain,0,0,0,0,0,Maine,450,350,100,0,0,0,0,0,0,1,2,3,20,0,1.9,70,70,102,117,109.5,1,45,,,,55,90,32,32
Shawnee Peak,0,0,0,0,0,Maine,1900,1350,600,0,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,103,100,1,110,,,,81,110,55,75
Sugarloaf,1,1,0,0,1,Maine,4237,2820,1417,0,0,0,2,3,1,5,2,13,162,4,3.5,1240,618,159,155,157,0,,,,,68,200,99,99
Sunday River,1,1,0,0,0,Maine,3140,2340,800,1,0,0,4,5,3,1,1,15,135,5,3,870,552,165,169,167,1,140,,,,60,167,105,105
Wisp,0,0,0,0,0,Maryland,3115,700,2415,0,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,120,120.5,1,118,,,,64,100,59,79
Berkshire East,0,0,0,0,0,Massachusetts,1720,1180,540,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,120,120,1,80,,,,68,120,48,68
Blandford Ski Area,0,0,0,0,0,Massachusetts,1685,465,1035,0,0,0,0,0,0,3,2,5,29,2,0.5,132,70,,106,106,1,70,,,,83,50,20,45
Blue Hills Ski Area,0,0,0,0,0,Massachusetts,635,309,326,0,0,0,0,0,0,1,3,4,16,1,,60,60,,99,99,0,,,,,19,,40,45
Bousquet Ski Area,0,0,0,0,0,Massachusetts,1875,750,1125,0,0,0,0,0,0,3,2,5,23,1,1,200,98,,65,65,1,100,,,,19,83,25,49
Bradford Ski Area,0,0,0,0,0,Massachusetts,1548,248,1300,0,0,0,0,0,2,0,8,10,15,1,0.3,48,48,,96,96,0,,,,,71,,37,55
Jiminy Peak,0,0,0,0,0,Massachusetts,2380,1150,1230,0,0,1,0,2,3,1,2,9,45,3,2,167,163,121,120,120.5,1,104,,,,71,90,81,81
Nashoba Valley,0,0,0,0,0,Massachusetts,440,240,200,0,0,0,0,0,3,1,7,11,17,2,0.5,52,52,112,126,119,1,52,,,,55,55,48,58
Otis Ridge Ski Area,0,0,0,0,0,Massachusetts,1700,400,1300,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,106,106,1,35,,,,73,70,20,40
Ski Butternut,0,0,0,0,0,Massachusetts,1800,1000,800,0,0,0,0,3,1,1,6,11,22,2,1.5,110,110,107,110,108.5,0,,,,14,56,115,25,60
Ski Ward,0,0,0,0,0,Massachusetts,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45,45,105,120,112.5,1,38,,,,50,80,39,55
Wachusett Mountain Ski Area,0,0,0,0,0,Massachusetts,2006,1000,1006,0,0,0,3,0,1,0,4,8,27,2,1.5,112,112,,120,120,1,104,5.8,,,57,100,65,71
Alpine Valley Ski Area,0,0,0,0,0,Michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100,100,,128,128,1,100,,,,57,20,39,47
Apple Mountain,0,0,0,0,0,Michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,,80,42,,75,75,1,80,,,,58,52,35,35
Big Powderhorn Mountain,0,0,0,0,0,Michigan,1800,600,1200,0,0,0,0,0,0,9,1,10,45,2,1,253,228,100,108,104,0,,,,,55,214,69,69
Bittersweet Ski Area,0,0,0,0,0,Michigan,850,350,450,0,0,0,0,1,7,0,4,12,20,2,0.2,100,100,80,,80,1,100,,,,36,90,38,48
Big Snow Resort - Blackjack,0,0,0,0,0,Michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,115,105,0,,,,,42,210,49,65
Boyne Highlands,1,1,0,0,0,Michigan,1290,552,745,0,0,0,1,3,4,0,2,10,55,4,1.2,435,400,97,120,108.5,1,150,,,,56,140,78,98
Boyne Mountain Resort,1,1,0,0,0,Michigan,1120,500,620,0,0,1,0,4,3,2,2,12,60,7,1,415,380,122,130,126,1,200,,,,71,140,78,78
Caberfae Peaks,0,0,0,0,0,Michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,130,124,1,150,,,,82,140,39,49
Cannonsburg,0,0,0,0,0,Michigan,1100,250,850,0,0,0,0,1,1,1,7,10,21,5,0.1,100,0,100,100,100,0,,,,,54,100,30,37
Crystal Mountain,0,0,0,0,0,Michigan,1132,375,757,0,0,0,1,3,2,0,2,8,58,3,0.3,102,96,120,135,127.5,1,56,56.5,,,63,132,54,64
Big Snow Resort - Indianhead Mountain,0,0,0,0,0,Michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,120,120,0,,,,,60,204,49,49
Marquette Mountain,0,0,0,0,0,Michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169,143,139,135,137,1,89,,,,60,210,36,54
Mont Ripley,0,0,0,0,0,Michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,100,107,1,100,,,,83,275,49,49
Mount Bohemia,0,0,0,0,0,Michigan,1500,900,600,0,0,0,0,0,1,1,0,2,102,0,2.3,585,0,83,100,91.5,0,,,,,19,273,68,68
Mt. Brighton,1,0,1,0,0,Michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130,130,111,100,105.5,1,130,,,,59,60,52,59
Mt. Holiday Ski Area,0,0,0,0,0,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45,45,100,90,95,1,45,,,,70,120,22,34
Mount Holly,0,0,0,0,0,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100,100,,102,102,1,100,,,,63,42,37,45
Mulligan's Hollow Ski Bowl,0,0,0,0,0,Michigan,700,130,570,0,0,0,0,0,0,0,5,5,6,0,0.2,10,10,,92,92,1,10,,,,19,60,15,20
Norway Mountain,0,0,0,0,0,Michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,110,110,1,40,,,,45,100,45,45
Nubs Nob Ski Area,0,0,0,0,0,Michigan,1338,427,911,0,0,0,0,3,4,2,1,10,53,3,0.9,248,248,133,130,131.5,1,160,,,,61,135,65,85
Pine Knob Ski Resort,0,0,0,0,0,Michigan,1308,300,1009,0,0,0,0,0,0,0,6,6,14,3,1,80,80,,128,128,0,,,,,,,49,57
Pine Mountain,0,0,0,0,0,Michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,126,118,1,80,,,,80,60,,45
Schuss Mountain at Shanty Creek,0,0,0,0,0,Michigan,1125,450,675,0,0,0,0,5,0,0,3,8,42,3,1,70,70,94,111,102.5,1,70,,,,57,160,58,78
Ski Brule,0,0,0,0,0,Michigan,1860,500,1360,0,0,0,0,0,0,5,7,12,17,3,1,150,150,164,165,164.5,1,40,,,,62,150,49,49
Snow Snake Mountain Ski Area,0,0,0,0,0,Michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0,40,40,,106,106,1,40,,,,72,,30,35
Swiss Valley,0,0,0,0,0,Michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,80,84.5,1,60,,,,51,60,32,42
The Homestead,0,0,0,0,0,Michigan,900,320,580,0,0,0,0,0,2,1,2,5,15,1,0.2,16,16,47,42,44.5,1,16,,,,34,150,50,50
Timber Ridge,0,0,0,0,0,Michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50,50,80,,80,1,50,,,,58,,35,45
Treetops Resort,0,0,0,0,0,Michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80,80,63,101,82,1,80,,,,65,175,,
Afton Alps,1,0,1,0,0,Minnesota,1530,350,1180,0,0,0,0,1,3,14,4,22,48,5,0.5,250,250,135,135,135,1,250,,,,56,60,55,60
Andes Tower Hills Ski Area,0,0,0,0,0,Minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,110,105,1,35,,,,38,55,45,45
Buck Hill,1,0,0,1,0,Minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45,45,115,112,113.5,1,45,,,,65,60,34,47
Buena Vista Ski Area,0,0,0,0,0,Minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30,30,57,60,58.5,1,30,,,,70,78,44,44
Coffee Mill Ski & Snowboard Resort,0,0,0,0,0,Minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,56,56.5,1,35,,,,39,48,23,37
Elm Creek Winter Recreation Area,0,0,0,0,0,Minnesota,928,60,868,0,0,0,0,0,0,0,3,3,3,0,1,15,20,105,102,103.5,1,15,,,,13,45,17,17
Giants Ridge Resort,0,0,0,0,0,Minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,125,122.5,1,121,,,,35,85,49,58
Hyland Ski & Snowboard Area,0,0,0,0,0,Minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,115,112.5,1,35,,,,61,55,35.34,35.34
Lutsen Mountains,0,0,0,0,0,Minnesota,1688,825,800,1,0,1,0,0,1,4,1,8,62,2,2,393,231,135,127,131,0,,,,,71,120,84,84
Mount Kato Ski Area,0,0,0,0,0,Minnesota,540,240,300,0,0,0,0,5,0,3,2,10,19,4,1,55,55,115,120,117.5,1,50,,,,43,50,34,46
Powder Ridge Ski Area,0,0,0,0,0,Minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,,60,60,97,113,105,1,60,,,,58,45,36,48
Spirit Mountain,0,0,0,0,0,Minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,125,112.5,1,144,,,,45,100,59,59
Welch Village,0,0,0,0,0,Minnesota,1060,360,700,0,0,0,0,3,1,4,2,10,50,1,0.8,125,125,114,122,118,1,100,,,,54,45,54,60
Wild Mountain Ski & Snowboard Area,0,0,0,0,0,Minnesota,1113,300,813,0,0,0,0,4,0,0,4,8,26,4,0.9,100,100,130,140,135,1,100,,,,47,50,55,55
Hidden Valley Ski Area,0,0,0,0,0,Missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30,30,,100,100,1,17,,,,37,26,49,49
Snow Creek,0,0,0,0,0,Missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,85,77,1,30,0.4,0.1,0.1,33,20,37,47
Big Sky Resort,1,1,0,1,1,Montana,11166,4350,7500,1,1,2,5,3,7,5,12,36,317,8,6,5800,400,144,144,144,0,,,,,46,400,127,127
Blacktail Mountain Ski Area,0,0,0,0,0,Montana,6676,1440,5236,0,0,0,0,0,1,2,1,4,27,0,0.7,1000,0,,119,119,0,,,,,21,250,42,42
Bridger Bowl,1,0,0,1,0,Montana,8700,2600,6100,0,0,0,0,1,6,1,3,11,105,2,1.5,2000,100,122,133,127.5,0,,,,,64,350,63,63
Discovery Ski Area,0,0,0,0,0,Montana,8150,2380,5770,0,0,0,0,0,5,2,1,8,74,1,1.5,2400,25,116,116,116,0,,,,,46,225,49,49
Great Divide,0,0,0,0,0,Montana,7330,1580,5750,0,0,0,0,0,0,5,1,6,110,6,3,1600,150,94,100,97,1,100,,9.9,3.7,78,180,48,48
Lost Trail - Powder Mtn,0,0,0,0,0,Montana,8200,1800,6400,0,0,0,0,0,0,5,3,8,69,2,2.5,1800,0,84,80,82,0,,,,,81,325,46,46
Maverick Mountain,0,0,0,0,0,Montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255,0,,120,120,0,,,,,83,160,39,39
Montana Snowbowl,0,0,0,0,0,Montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950,20,,127,127,1,10,,,,58,300,50,50
Red Lodge Mountain,0,0,0,0,0,Montana,9416,2400,7016,0,0,0,2,0,1,3,1,7,70,2,2.5,1635,496,142,136,139,0,,,,,59,250,67,67
Showdown Montana,0,0,0,0,0,Montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640,0,86,85,85.5,0,,,,,83,250,47,47
Teton Pass Ski Resort,0,0,0,0,0,Montana,7200,1010,6190,0,0,0,0,0,0,1,2,3,43,1,3,330,0,40,150,95,0,,,,,54,250,39,39
Whitefish Mountain Resort,0,0,0,0,1,Montana,6817,2353,4464,0,0,0,3,2,6,0,3,14,105,4,3.3,3000,600,123,123,123,1,600,,,,72,333,81,81
Diamond Peak,0,0,0,0,0,Nevada,8540,1840,6700,0,0,0,1,2,0,3,1,7,30,3,2.5,655,492,100,122,111,0,,,,,53,300,89,99
Elko SnoBowl,0,0,0,0,0,Nevada,7000,700,6300,0,0,0,0,0,0,1,1,2,10,0,1,60,2,19,30,24.5,0,,,,,23,24,20,20
Lee Canyon,0,0,0,0,0,Nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195,50,144,150,147,0,,,,,56,161,70,70
Mt. Rose - Ski Tahoe,0,0,0,0,0,Nevada,9700,1800,8260,0,0,2,0,2,2,0,2,8,65,5,2.5,1200,330,152,150,151,0,,,,,55,350,135,135
Attitash,1,0,0,1,0,New Hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,130,122.5,0,,,,,54,120,79,89
Black Mountain,1,0,0,1,0,New Hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143,120,110,107,108.5,0,,,,,84,125,45,59
Bretton Woods,0,0,0,0,1,New Hampshire,3100,1500,1600,0,0,0,4,1,1,0,3,9,63,2,2,464,427,180,180,180,1,45,,,,46,200,85,99
Cannon Mountain,0,0,0,0,0,New Hampshire,4080,2180,1900,1,0,0,1,2,3,1,3,11,97,3,2.3,285,192,124,143,133.5,0,,,,,81,160,79,79
